Candidate Name,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Handeled Team,Years of Experience,AI PotentialCandidate
Candidate1,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate2,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate3,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate4,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate5,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate6,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate7,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate8,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate9,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate10,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate11,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate12,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate13,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate14,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate15,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate16,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate17,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate18,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate19,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate20,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate21,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate22,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate23,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate24,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate25,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate26,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate27,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate28,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate29,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate30,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate31,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate32,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate33,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate34,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate35,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate36,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate37,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate38,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate39,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate40,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate41,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate42,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate43,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate44,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate45,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate46,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate47,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate48,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate49,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate50,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate51,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate52,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate53,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate54,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate55,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate56,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate57,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate58,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate59,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate60,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate61,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate62,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate63,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate64,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate65,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate66,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate67,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate68,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate69,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate70,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate71,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate72,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate73,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate74,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate75,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate76,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate77,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate78,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate79,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate80,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate81,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate82,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate83,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate84,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate85,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate86,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate87,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate88,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate89,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate90,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate91,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate92,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate93,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate94,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate95,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate96,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate97,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate98,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate99,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
